Å	1000	60	50	200	0	0	0	0	0	650	95	0	0	900	120	2000	90	3250	200	3700	200	4990	500	500	90	500	90	2150	180	2150	180	0	0	0	0	0	0	250	300	320	360	1500	0	60	60	60	60	0	0	0	0	0	
ç	1000	60	50	200	0	0	0	0	0	600	90	0	0	990	100	2570	80	3250	200	3700	200	4990	500	500	90	500	90	2150	180	2150	180	0	0	0	0	0	0	250	300	320	360	1500	0	60	60	60	60	0	0	0	0	0	
o	1000	60	50	200	0	0	0	0	0	540	80	0	0	1100	70	2300	70	3250	200	3700	200	4990	500	500	90	500	90	2150	180	2150	180	0	0	0	0	0	0	250	300	320	360	1500	0	60	60	60	60	0	0	0	0	0	
U	1000	60	50	200	0	0	0	0	0	450	80	0	0	1100	100	2350	80	3250	200	3700	200	4990	500	500	90	500	90	2150	180	2150	180	0	0	0	0	0	0	250	300	320	360	1500	0	60	60	60	60	0	0	0	0	0	
u	1000	60	50	200	0	0	0	0	0	350	65	0	0	1250	110	2200	140	3250	200	3700	200	4990	500	500	90	500	90	2150	180	2150	180	0	0	0	0	0	0	250	300	320	360	1500	0	60	60	60	60	0	0	0	0	0	
f	1000	0	50	200	0	0	0	0	60	340	200	0	0	1100	120	2080	150	3250	200	3700	200	4990	500	500	90	500	90	2150	180	2150	180	0	0	0	0	0	57	250	300	320	360	1500	0	60	60	60	60	0	0	0	0	0	
v	1000	60	50	200	0	0	0	0	30	220	60	0	0	1100	90	2080	120	3250	200	3700	200	4990	500	500	90	500	90	2150	180	2150	180	0	0	0	0	0	57	250	300	320	360	1500	0	60	60	60	60	0	0	0	0	0	
T	1000	0	50	200	0	0	0	0	60	320	200	0	0	1290	90	2540	200	3250	200	3700	200	4990	500	500	90	500	90	2150	180	2150	180	0	0	0	0	28	48	250	300	320	360	1500	0	60	60	60	60	0	0	0	0	0	
D	1000	60	50	200	0	0	0	0	30	270	60	0	0	1290	80	2540	170	3250	200	3700	200	4990	500	500	90	500	90	2150	180	2150	180	0	0	0	0	28	48	250	300	320	360	1500	0	60	60	60	60	0	0	0	0	0	
s	1000	0	50	200	0	0	0	0	60	320	200	0	0	1600	80	2530	200	3250	200	3700	200	4990	500	500	90	500	90	2150	180	2150	180	0	0	0	0	52	0	250	300	320	360	1500	0	60	60	60	60	0	0	0	0	0	
z	1000	60	50	200	0	0	0	0	60	240	70	0	0	1390	60	2530	180	3250	200	3700	200	4990	500	500	90	500	90	2150	180	2150	180	0	0	0	0	52	0	250	300	320	360	1500	0	60	60	60	60	0	0	0	0	0	
